title,year,genres,imdb_rating,local_gross,worldwide_gross,budget,opening_weekend,url
H,2002,"['Back to top', 'Thriller', 'Drama', 'Mystery']",5.8,N/A,"$438,227",N/A,N/A,https://www.imdb.com/title/tt0304120/
Invisible Light,2003,"['Back to top', 'Drama']",5.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0359964/
"Love, So Divine",2004,"['Romance', 'Back to top', 'Comedy']",6.3,N/A,"$251,561",N/A,N/A,https://www.imdb.com/title/tt0419135/
Raybang,2001,"['Back to top', 'Drama', 'Comedy']",6.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0330807/
Vanishing Twin,2000,"['Back to top', 'Romance', 'Drama', 'Mystery']",5.3,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0380202/
Three,2002,"['Back to top', 'Mystery', 'Horror']",6.1,N/A,"$1,691,811",N/A,N/A,https://www.imdb.com/title/tt0324242/
Do You Like Spring Bear?,2003,"['Back to top', 'Romance', 'Drama', 'Comedy']",5.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0370360/
Club Butterfly,2001,"['Back to top', 'Drama']",5.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0453010/
Camellia Project: Three Queer Stories at Bogil Island,2005,"['Back to top', 'Drama']",5.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0463441/
Blade of the Phantom Master,2004,"['Anime', 'Back to top', 'Fantasy', 'Animation', 'Action']",6.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt1467299/
Chunhyang,2000,"['Back to top', 'Romance', 'Drama', 'Musical']",7.1,"$798,220",N/A,N/A,"$14,052",https://www.imdb.com/title/tt0245837/
She's on Duty,2005,"['Comedy', 'Back to top', 'Romance', 'Action', 'Crime']",6.2,N/A,"$10,826,936",N/A,N/A,https://www.imdb.com/title/tt0456999/
The Big Swindle,2004,"['Comedy', 'Caper', 'Back to top', 'Action', 'Crime']",6.5,N/A,N/A,"$3,500,000 (estimated)",N/A,https://www.imdb.com/title/tt0402842/
Mr. Iron Palm,2002,"['Back to top', 'Drama', 'Comedy']",5.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0314214/
"Hello, Brother",2005,"['Back to top', 'Drama']",7.0,N/A,"$6,045,108",N/A,N/A,https://www.imdb.com/title/tt0479634/
Love Bakery,2000,"['Back to top', 'Romance', 'Drama', 'Comedy']",6.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0293300/
Public Enemy,2002,"['Back to top', 'Action', 'Crime']",7.1,N/A,"$15,897,574",N/A,N/A,https://www.imdb.com/title/tt0306909/
Grain in Ear,2005,"['Back to top', 'Drama']",6.9,N/A,"$20,277",N/A,N/A,https://www.imdb.com/title/tt0781421/
A Masterpiece in My Life,2000,"['Back to top', 'Drama', 'Romance']",5.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0297041/
Spy Girl,2004,"['Romance', 'Action', 'Back to top', 'Comedy']",5.9,N/A,"$1,210",N/A,N/A,https://www.imdb.com/title/tt0390043/
Someone Special,2004,"['Romance', 'Back to top', 'Comedy']",6.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0409696/
