title,year,genres,imdb_rating,local_gross,worldwide_gross,budget,opening_weekend,url
The Horse Thieves. Roads of Time,2019,"['Back to top', 'Drama']",6.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt10921188/
Dästür,2023,"['Back to top', 'Supernatural Horror', 'Sci-Fi', 'Horror']",6.1,N/A,"$76,144",N/A,N/A,https://www.imdb.com/title/tt32410105/
Losing Innocence in Alma-Ata,2011,"['Back to top', 'Drama']",6.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt2474232/
Inside a Volcano,2016,"['Adventure', 'Documentary', 'Drama', 'Back to top', 'Sport', 'History']",7.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt6144516/
Tri brata,2000,"['Back to top', 'Drama', 'Comedy']",7.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0237853/
Unreal Love,2012,"['Romance', 'Back to top', 'Comedy']",5.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt3749598/
Altyn Kyrghol,2002,"['Back to top', 'Drama']",6.8,N/A,"$16,357",N/A,N/A,https://www.imdb.com/title/tt0321177/
Ostrov vozrozhdeniya,2004,"['Back to top', 'Drama']",6.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0470903/
La voix des steppes,2014,"['Music', 'Mystery', 'Back to top', 'Drama', 'Romance']",7.1,N/A,N/A,"$5,000,000 (estimated)",N/A,https://www.imdb.com/title/tt3401438/
KorimDick,2024,"['Back to top', 'Musical']",8.6,N/A,N/A,"$1,000 (estimated)",N/A,https://www.imdb.com/title/tt35929526/
KIll me,2023,"['Back to top', 'Comedy']",7.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt29489701/
Ya-zhenikh,2018,"['Back to top', 'Comedy']",5.1,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt8914972/
Jylama,2003,"['Back to top', 'Drama']",6.3,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0370821/
Tale of a Pink Bunny,2010,"['Back to top', 'Drama']",6.7,N/A,N/A,"$550,000 (estimated)",N/A,https://www.imdb.com/title/tt1859588/
Boz salkyn,2007,"['Back to top', 'Drama']",6.3,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt1050089/
Strayed,2009,"['Thriller', 'Back to top', 'Drama', 'Fantasy', 'Mystery']",5.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt1494812/
Tokal,2016,"['Back to top', 'Drama']",6.5,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt3495832/
"Ya, Pyshka!",2020,"['Back to top', 'Comedy']",5.4,N/A,N/A,"KZT 60,000,000 (estimated)",N/A,https://www.imdb.com/title/tt13821672/
Sveta,2017,"['Back to top', 'Drama']",6.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt7591028/
Tellur Aliens,2016,"['Back to top', 'Animation', 'Adventure', 'Comedy']",4.4,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt6317016/
The Sixth Post,2018,"['Back to top', 'True Crime', 'Crime', 'Drama']",7.3,N/A,N/A,"$1,000,000 (estimated)",N/A,https://www.imdb.com/title/tt8184066/
Bauryna Salu,2023,"['Back to top', 'Drama']",7.4,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt28517189/
The Crying Steppe,2021,"['Back to top', 'Drama']",6.2,N/A,N/A,"$2,000,000 (estimated)",N/A,https://www.imdb.com/title/tt11434772/
On a Clear Day You Can See the Revolution from Here,2020,"['Documentary', 'Back to top']",6.9,N/A,N/A,"€40,000 (estimated)",N/A,https://www.imdb.com/title/tt12084330/
ToyiHana,2021,"['Back to top', 'Comedy']",5.4,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt19937172/
Rebirth Island,2024,"['Thriller', 'Action', 'Back to top']",9.1,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt26749549/
Nauchi menya zhit,2023,"['Back to top', 'Comedy']",6.4,N/A,"$6,307",N/A,N/A,https://www.imdb.com/title/tt32402412/
Rieltor,2011,"['Back to top', 'Fantasy', 'Adventure']",7.3,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt1989592/
Jumper. Treasure Hunting 3D,2020,"['Animation', 'Back to top']",5.1,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt13137844/
Kek,2006,"['Back to top', 'Drama']",7.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt1051829/
Kazakh Khanate: Diamond Sword,2016,"['History', 'Back to top', 'Drama', 'War', 'Action']",6.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt9011132/
Chouga,2007,"['Back to top', 'Drama']",7.0,N/A,N/A,"$1,000,000 (estimated)",N/A,https://www.imdb.com/title/tt1141663/
Mountain Onion,2022,"['Back to top', 'Drama', 'Comedy']",6.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt21379366/
The Liquidator,2011,"['Thriller', 'Action', 'Back to top']",4.8,N/A,N/A,"$3,000,000 (estimated)",N/A,https://www.imdb.com/title/tt2072268/
"A Dark, Dark Man",2019,"['Back to top', 'Drama', 'Crime']",6.9,N/A,"$124,792",N/A,N/A,https://www.imdb.com/title/tt10867768/
Ironiya lyubvi,2010,"['Back to top', 'Comedy']",4.6,N/A,"$4,364,929",N/A,N/A,https://www.imdb.com/title/tt1601845/
Hacker,2016,"['Back to top', 'Thriller', 'Drama', 'Crime']",6.1,"$11,239","$11,239","$2,000,000 (estimated)","$6,716",https://www.imdb.com/title/tt3173594/
Mongol: The Rise of Genghis Khan,2007,"['Historical Epic', 'Drama', 'Back to top', 'War', 'War Epic', 'History', 'Action', 'Period Drama', 'Biography']",7.2,"$5,705,761","$26,527,510","$18,000,000 (estimated)","$135,326",https://www.imdb.com/title/tt0416044/
Chyornaya gora,2022,"['Back to top', 'Horror']",3.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt20238756/
Korni,2024,"['Back to top', 'Drama', 'Period Drama', 'War']",8.2,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt33075438/
Khod konem,2013,"['Back to top', 'Adventure', 'Family', 'Comedy']",6.5,N/A,N/A,"$600,000 (estimated)",N/A,https://www.imdb.com/title/tt3204366/
Fade Away Pastoral,2018,"['Back to top', 'Drama']",6.6,N/A,"$1,307,365",N/A,N/A,https://www.imdb.com/title/tt10443760/
Put lidera. V epitsentre mira,2018,"['Back to top', 'Drama', 'Biography']",3.4,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt7581080/
Baykalskiy intsident. Skrytaya ugroza,2014,"['Found Footage Horror', 'Alien Invasion', 'Back to top', 'Monster Horror', 'B-Horror', 'Sci-Fi', 'Horror']",6.9,N/A,N/A,RUR 100 (estimated),N/A,https://www.imdb.com/title/tt4071142/
Käshbasshy zholy,2013,"['Back to top', 'Biography']",4.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt3375076/
Kazakh Khanate: The Golden Throne,2019,"['History', 'Back to top', 'Drama', 'War', 'Action']",5.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt11050404/
The Other Side,2009,"['Back to top', 'Action', 'Crime']",5.9,N/A,N/A,"$1,000,000 (estimated)",N/A,https://www.imdb.com/title/tt1576701/
Racketeer,2007,"['Back to top', 'Drama', 'Action', 'Crime']",6.8,N/A,N/A,"$800,000 (estimated)",N/A,https://www.imdb.com/title/tt1677719/
Shynyraw (2018),2018,"['Back to top', 'Drama']",7.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt8309068/
Fire,2021,"['Back to top', 'Drama', 'Comedy']",6.7,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt15487934/
Kanikuly off-line 3,2023,"['Back to top', 'Comedy']",7.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt28275855/
Qas,2022,"['Back to top', 'History']",7.6,N/A,N/A,"$600,000 (estimated)",N/A,https://www.imdb.com/title/tt22046284/
Seker,2009,"['Back to top', 'Drama', 'Family', 'Comedy']",6.5,N/A,N/A,"KZT 100,000,000 (estimated)",N/A,https://www.imdb.com/title/tt1706480/
Corn Island,2014,"['Back to top', 'Drama', 'War']",7.4,N/A,"$37,445","€1,500,000 (estimated)",N/A,https://www.imdb.com/title/tt1863192/
Kanikuly OFF-LINE,2019,"['Back to top', 'Comedy']",6.3,N/A,N/A,"KZT 150,000,000 (estimated)",N/A,https://www.imdb.com/title/tt11262956/
Ademoka's Education,2022,"['Back to top', 'Drama', 'Comedy']",6.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt8309900/
Bopem,2015,"['Back to top', 'Drama']",6.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt5115954/
Time of Heroes,2022,"['Thriller', 'Action', 'Back to top', 'War']",5.5,N/A,"$56,858",N/A,N/A,https://www.imdb.com/title/tt19878422/
Klasstastar,2018,"['Back to top', 'Comedy']",7.3,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt8214382/
My Love Is Aisulu,2020,"['Back to top', 'Comedy']",6.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt12194150/
Golden Eagle: Special Forces,2023,"['Action', 'Back to top']",5.6,N/A,N/A,"$2,500,000 (estimated)",N/A,https://www.imdb.com/title/tt31021680/
Begletsy,2014,"['Back to top', 'Thriller', 'Drama', 'Adventure']",6.1,N/A,N/A,"$1,500,000 (estimated)",N/A,https://www.imdb.com/title/tt7667974/
Satash,2018,"['Back to top', 'Western', 'Drama']",5.4,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt9144530/
Hell Hath No Fury,2021,"['Action', 'Back to top', 'War']",4.8,N/A,N/A,"$5,000,000 (estimated)",N/A,https://www.imdb.com/title/tt15141632/
Little Men,2003,"['Back to top', 'Comedy']",6.9,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt0376746/
Kara Kyz,2024,"['Back to top', 'Period Drama', 'War']",4.8,N/A,"$1,813",N/A,N/A,https://www.imdb.com/title/tt32167108/
Scream,2023,"['Back to top', 'Family', 'History']",6.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt29578947/
Superagenty,2022,"['Back to top', 'Comedy']",5.8,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt28275698/
Qizimniñ Qorgawsisi,2022,"['Back to top', 'Action', 'Drama']",7.4,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt26923226/
Besbarmak,2023,"['Back to top', 'Comedy']",5.7,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt29883638/
Toy lyuboy tsenoy,2018,"['Back to top', 'Comedy']",5.0,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt8020832/
Saving Papua by Not Cycling There,2014,"['Adventure', 'Comedy', 'Documentary', 'News', 'Back to top']",5.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt4026340/
Daulen-ui gyeolhon,2023,"['Back to top', 'Drama']",6.0,N/A,"$27,803",N/A,N/A,https://www.imdb.com/title/tt32383438/
Mariam,2019,"['Back to top', 'Drama']",5.6,N/A,N/A,N/A,N/A,https://www.imdb.com/title/tt10818938/
Hunting the Phantom,2014,"['Sci-Fi', 'Action', 'Adventure', 'Back to top']",3.0,N/A,"$32,182","$4,400,000 (estimated)",N/A,https://www.imdb.com/title/tt1880313/
